class,label,path
apple pie,0,images/apple_pie/3113710.jpg
apple pie,0,images/apple_pie/2485958.jpg
apple pie,0,images/apple_pie/1350394.jpg
apple pie,0,images/apple_pie/3596143.jpg
apple pie,0,images/apple_pie/1028787.jpg
apple pie,0,images/apple_pie/2648160.jpg
apple pie,0,images/apple_pie/2519446.jpg
apple pie,0,images/apple_pie/2421227.jpg
apple pie,0,images/apple_pie/2111966.jpg
apple pie,0,images/apple_pie/3420738.jpg
apple pie,0,images/apple_pie/1284682.jpg
apple pie,0,images/apple_pie/85857.jpg
apple pie,0,images/apple_pie/3546563.jpg
apple pie,0,images/apple_pie/80735.jpg
apple pie,0,images/apple_pie/2458159.jpg
apple pie,0,images/apple_pie/1166116.jpg
apple pie,0,images/apple_pie/2851371.jpg
apple pie,0,images/apple_pie/280007.jpg
apple pie,0,images/apple_pie/3198655.jpg
apple pie,0,images/apple_pie/827575.jpg
apple pie,0,images/apple_pie/1185445.jpg
apple pie,0,images/apple_pie/3779150.jpg
apple pie,0,images/apple_pie/78081.jpg
apple pie,0,images/apple_pie/973088.jpg
apple pie,0,images/apple_pie/3825794.jpg
apple pie,0,images/apple_pie/1514110.jpg
apple pie,0,images/apple_pie/1420227.jpg
apple pie,0,images/apple_pie/2724897.jpg
apple pie,0,images/apple_pie/842012.jpg
apple pie,0,images/apple_pie/2708417.jpg
apple pie,0,images/apple_pie/1579622.jpg
apple pie,0,images/apple_pie/1774036.jpg
apple pie,0,images/apple_pie/2574026.jpg
apple pie,0,images/apple_pie/2206034.jpg
apple pie,0,images/apple_pie/3242509.jpg
apple pie,0,images/apple_pie/2074694.jpg
apple pie,0,images/apple_pie/2306493.jpg
apple pie,0,images/apple_pie/2383378.jpg
apple pie,0,images/apple_pie/267865.jpg
apple pie,0,images/apple_pie/2114765.jpg
apple pie,0,images/apple_pie/767395.jpg
apple pie,0,images/apple_pie/1421796.jpg
apple pie,0,images/apple_pie/962315.jpg
apple pie,0,images/apple_pie/1789100.jpg
apple pie,0,images/apple_pie/2605751.jpg
apple pie,0,images/apple_pie/2479319.jpg
apple pie,0,images/apple_pie/1620714.jpg
apple pie,0,images/apple_pie/412545.jpg
apple pie,0,images/apple_pie/490047.jpg
apple pie,0,images/apple_pie/1235282.jpg
apple pie,0,images/apple_pie/2051864.jpg
apple pie,0,images/apple_pie/3708396.jpg
apple pie,0,images/apple_pie/1344873.jpg
apple pie,0,images/apple_pie/1481550.jpg
apple pie,0,images/apple_pie/1447062.jpg
apple pie,0,images/apple_pie/1874325.jpg
apple pie,0,images/apple_pie/1397313.jpg
apple pie,0,images/apple_pie/1410907.jpg
apple pie,0,images/apple_pie/631445.jpg
apple pie,0,images/apple_pie/2605371.jpg
apple pie,0,images/apple_pie/3023096.jpg
apple pie,0,images/apple_pie/807000.jpg
apple pie,0,images/apple_pie/2722635.jpg
apple pie,0,images/apple_pie/2658301.jpg
apple pie,0,images/apple_pie/1547651.jpg
